230.0572008189170j,54.81698290449063-34.570307750996605j,69.75985198582774+39.22759813409097j,37.72357445092484-114.33809058026608j,-110.46386217874053-21.634510985775943j,5.548191892119107+284.2124823302772j,136.07000084506902-181.9360724482336j,-195.75661941615198-13.384324033006482j,-27.947344751819212-16.469553362766213j,-19.671912827465945+274.1045900976885j,52.233632644256275+59.46723080903291j,-25.198136476746832+61.296661759989234j,-137.24530701036525+61.55445925871677j,93.18661433621892+10.781692652120332j,181.7354916818903+100.42946492657649j,17.502394399434866-99.83062859526692j,-23.548551169642263-9.78200929934534j,-53.67651922581575-160.33939450456694j,-247.76898100752567-87.96440942462732j,-91.97695247157748+199.7784869065432j,49.88650618190021-37.01671072734863j
230.0576169739470j,58.05732797119009-37.86158821490604j,74.48184926455211+32.900505161013704j,31.5140626713856-117.97236472063152j,-115.64257935423365-28.068552485880417j,2.878661436086551+281.8242888875517j,118.74287614328827-179.42132312856722j,-193.94735283850963-1.0034121594853467j,-16.037524554887035-4.484896246955959j,-24.47750716528587+257.06778480965187j,54.763085042916956+53.43436846137512j,-11.487752384644939+68.14744114056072j,-133.0678887136898+76.194288412193j,113.64651486229812+3.7891162724845007j,178.94146205233093+92.02067095802636j,20.071226254077644-102.22564239796387j,-24.868397023408733-2.477391662856931j,-57.39768493261687-151.75074374590224j,-247.56591758306152-91.38582503460295j,-95.06870175681297+201.0787434636359j,38.478766993562274-35.58640698794146j
230.0580035201270j,60.08132379855982-43.82560969181665j,78.13646707297596+24.009063940675258j,23.44026149156103-121.35272625928043j,-119.52934654423245-34.82045236597463j,3.0454848093571756+276.2035540208309j,102.48315795751768-175.48211926275678j,-188.4771556569312+14.205458342538854j,-0.7126114426890593+4.522255350688221j,-31.648144289961152+236.56556539853847j,54.22408426314295+46.822563792425285j,-0.34400122974014224+71.11241316298904j,-122.41107910464521+88.56200889009573j,132.37311253616252-3.3299209229184754j,172.74899766340437+85.78887412942937j,24.317504263147256-104.37027738287944j,-27.415112871658337+3.8133711668713413j,-57.86925371226366-143.91167609943489j,-244.50799652790283-94.23632781771957j,-98.84218553806045+199.9196206136304j,26.249998296386615-33.07581351511868j
230.0583357194670j,60.357217827818914-50.889701621420485j,80.96645098798228+16.276640209291905j,15.253250566337636-122.76619067453544j,-125.58903334596368-40.67497991769115j,0.5529374612661557+270.8910317320183j,84.78704149947055-170.43039116389048j,-182.16942414495765+27.02038898479123j,15.996683544504108+11.772588394517102j,-42.659438159272824+214.8283330696823j,51.835546128752355+41.90664830740709j,11.78465504601539+74.72070521415223j,-106.43719597727033+97.10007243545513j,150.40747284161102-15.214933223487831j,160.84413743425935+84.56419860894505j,29.791259944697636-106.44565122695235j,-28.447004328947042+11.028583572567056j,-58.409025482200036-132.27956101561125j,-241.48182120417022-96.96393904749843j,-104.76831764390447+195.21055470220585j,12.946850442661614-29.076681425417796j
230.0585923123240j,62.894725584110404-56.45032558494348j,80.28751355789613+7.873323956544723j,7.220861619497411-123.92457786593053j,-131.10539541025244-46.00811981469176j,-1.345301112476019+264.3368610089425j,68.61339989893926-162.7954112893885j,-173.3736466031674+34.81821450820294j,38.27644833145852+16.764363573530066j,-56.80417499376812+192.9424466941833j,49.55539866928683+37.48292420762048j,22.831234922308163+73.80789397251453j,-86.09473775246869+101.81900877301982j,167.11112058728173-29.007110696625993j,143.81812148198014+80.50819524380316j,31.07650717467668-104.99749571547835j,-30.083655833274992+21.874781613698552j,-54.55167267398291-123.49091053466728j,-237.54454090713355-95.45178551093025j,-111.08801747474851+189.6049348149287j,0.8843856081918449-26.246116331149913j
230.0587568781430j,65.54299888283417-63.19857091607105j,81.46423235783948-0.49896966160948253j,0.7060830487178151-123.45118206771505j,-137.2560808278596-53.22285583237804j,-3.5343260728865116+258.38995279895437j,53.336176832959154-157.7474394863386j,-163.72748481730514+40.18107775347292j,59.303793372975804+16.479960737166746j,-72.50393297561777+170.4452672023951j,47.05836839743441+34.13517443017609j,35.926317870980895+71.80499487989846j,-63.87811615768915+103.5410418581333j,183.23089150406372-44.143030793664295j,126.56517255995897+78.80610591534696j,35.58559260692538-103.86153832331645j,-31.499881805691246+29.790506798242532j,-51.97515338062198-112.28516949260893j,-231.7049749094403-93.06222093586425j,-119.44614632823307+185.68168457047926j,-10.626904911240642-20.522029276476687j
230.0588188864060j,66.18488097059733-70.24972682579295j,82.62677264692996-6.749163669247995j,-5.135588336087363-121.47362620792249j,-145.4424240314827-58.00088994704612j,-6.071823888198322+251.18673022627775j,35.77107014501617-149.03805772072184j,-154.116432272522+41.61067560344447j,85.43578151261347+17.352153473941556j,-88.14442876702381+154.35026161454093j,42.558125143699144+30.088632197257503j,48.012119463935534+66.9270328209806j,-39.442701911795396+103.78540910600626j,194.16896224869683-60.5353529046676j,106.32725779979722+77.83347420061082j,39.21592569152747-102.7108097116221j,-30.659844718697236+38.83041019331389j,-50.112053153104384-100.28473526633174j,-226.13216171596378-90.21860872267027j,-125.68679747676156+181.66898289173207j,-20.42313426263868-12.5174878931495j
230.0587743703230j,66.91165998363044-77.25822290787409j,81.92695793958043-14.654601878624042j,-13.23424088696076-118.56665055113486j,-153.2576421169941-64.55207917779131j,-9.821856078012809+245.03452748219718j,20.880475299285592-137.85358009608456j,-145.3603422517491+39.69152983309026j,108.93924710871882+11.002515276512682j,-103.7200746716991+138.12564997774234j,38.769378941954585+28.384475574142925j,60.889684780958234+60.960749869348j,-12.477236538612578+101.17385310241367j,201.13835722456875-75.03515389664683j,87.92683291485162+78.05707333623889j,42.12951794032568-100.30641203560104j,-29.40205758231788+46.15006713410716j,-48.19368245659085-92.6436285721256j,-221.80459399763654-87.21109543287552j,-132.51524974689244+178.8337816800547j,-27.87030896963396-3.448761901332393j
230.0586261804530j,66.36307251659689-84.962990024786j,79.1001208942834-21.394397971249475j,-18.886542395414878-114.57968544091139j,-158.97182542859662-67.87469629549514j,-11.93513643459093+238.20175892705572j,6.572524946313618-124.5797917201211j,-132.93340065128348+38.7502189532927j,134.44232478156908+5.062042726412228j,-117.30329231379591+129.31525468594555j,38.51510082610592+30.328726079848582j,73.28954208858312+54.73421300117511j,11.676478744594426+95.57717705189478j,203.20551933865596-90.3175909121863j,70.6035107100017+79.58229821679623j,44.85089677107419-96.6548538631787j,-26.69155316736387+50.87095440166023j,-46.20078365102659-84.84469611253704j,-218.5614965796414-79.48898359849105j,-139.9678066525748+175.46640657154728j,-32.028358458166004+6.690039226918696j
230.0583838018670j,64.6339899728691-92.63453897399437j,73.84610743194881-27.430080161286703j,-24.502468304340056-111.92436835093282j,-166.89256422273033-72.28605093112628j,-13.212097933349241+229.59545605330771j,-7.49135143582526-111.57305679280432j,-122.44503389125103+34.764872898927166j,157.99869177415425-4.022375072198651j,-126.5506458869884+122.97617772325454j,41.38964935095683+31.483693964036583j,82.60179844229826+46.557631381524274j,32.25451046350012+84.47861732581127j,201.97519974341716-104.46382888457507j,54.87021518367486+82.68763649067668j,46.786138526064114-91.8194240079986j,-20.871274626045505+52.53587682084063j,-42.26081444236313-80.96550134245257j,-216.27424441510567-74.55536097278802j,-148.15535660743174+169.9715083356184j,-34.7594698041527+20.250588660104732j
230.0580627467750j,62.61756878486924-100.6834335520818j,66.49488952847734-34.14673415502746j,-27.68320804633747-105.08543126192308j,-172.91956768892166-77.0485649510444j,-15.253628922199413+224.96186242135516j,-19.32528579837117-97.96719602069712j,-114.51522601241771+31.703870496284797j,178.83761703357564-15.430151730566358j,-131.54590791400693+123.95953138418227j,45.05298901983364+34.609727396346074j,87.54338502287573+38.29902447784601j,43.748290601435784+69.83742963983991j,195.6795257157748-117.3522903103019j,42.97091935950928+88.7776736414149j,47.65389757763084-85.97445442068323j,-14.126414772809337+53.2946550504175j,-38.53483005348519-75.60889910642356j,-212.6263623124363-69.97175767950678j,-153.80061448584598+167.4312873983339j,-32.98963246855007+33.74909468761486j
